bagpipe/Bagpipes,バグパイプ/バグパイプ
total darkness/pitch dark,真っ暗/真暗/まっ暗/まっくら
quiet (place)/still,ひっそり/ひっそり
lonely/lonesome,寂しい/寂しい/淋しい/淋しい/さびしい
bare earth/ground,地べた/じべた
nature/Mother Nature,大自然/だいしぜん
to set up (e.g. a tent),張る/貼る/はる
starry sky,星空/星ぞら/ほしぞら
scene/view,眺め/ながめ
weeding/weeder,草毟り/草むしり/草毮り/くさむしり
biggest/greatest,最大/さいだい
relatively/comparatively,割と/割りと/わりと
roughly/approximately,ざっくり/ざっくり
charge/duty,係/係り/かかり
armpit/under one's arm,脇/腋/掖/わき
to partition/to divide,仕切る/しきる
separately/apart/additionally,別に/べつに
to partition/to divide,仕切る/しきる
reading (books)/Reading (process),読書/読書/どくしょ
to set (sun)/to become dark,日が暮れる/ひがくれる
properly/accurately,きちんと/きちんと
setting up (a structure - building - camp - etc.)/construction,設営/せつえい
cooking/food preparation,調理/ちょうり
cooking rice/kitchenmaid,飯炊き/めしたき
taking on one's share (e.g. of work)/dividing (work - expenses - etc.) between,分担/ぶんたん
arbitrarily/of its own accord,勝手に/かってに
fine thread/hempen cord,細/ほそ
complete/completion,完成/かんせい
unfashionable/uncouth,野暮ったい/やぼったい
to shine/to glitter,輝く/耀く/赫く/燿く/煌く/かがやく
impressions/thoughts,感想/かんそう
unreasonable/unnatural,無理/むり
good idea,名案/めいあん
to build/to construct,建てる/たてる
evening meal/dinner,夕食/ゆうしょく
preparation/arrangements,支度/仕度/したく
piece(s) of firewood (esp. chopped or split from logs)/kindling (twigs - branches - etc.),薪/薪/焚き木/たき木/まき
serious/honest,真面目/眞面目/まじめ
to burst open/to pop,爆ぜる/罅ぜる/はぜる
end/finish,切り/限り/切/限/きり
stock/share,株/かぶ
to go out/to vanish,消える/きえる
to take (a resource - e.g. time or money)/to hang,掛かる/懸かる/掛る/懸る/かかる
standard/routine,定番/ていばん
subtle seasoning that brings out the flavor/secret ingredient,隠し味/かくしあじ
negligence/carelessness,油断/ゆだん
gap/space,隙/透き/隙/隙/隙/すき
too many/too much,余計/よけい
smelling burnt/tasting burnt,焦げ臭い/焦臭い/焦げくさい/こげ臭い/こげくさい
pitch black,真っ黒/まっ黒/真黒/まっくろ
wheat flour/Wheat flour,小麦粉/こむぎこ
to burn/to roast,焼く/燬く/焚く/やく
trouble/hardship,苦労/苦勞/くろう
effect/result,甲斐/詮/効/かい
to grow hot (e.g. water)/to boil,沸く/わく
to work/to labor,働く/はたらく
to warm oneself/to sun oneself,温まる/温まる/暖まる/暖まる/温まる/あたたまる
to be boiled/to be cooked,煮える/にえる
lottery/drawn lot,くじ引き/籤引き/籤引/くじびき
trouble/bother,面倒/めんどう
looking after/help,世話/せわ
to fire (gun - arrow - questions - etc.)/to shoot,放つ/はなつ
reserve/spare,取っておき/取って置き/とっておき
taking care of someone,面倒見/めんどうみ
to shout/to cry,叫ぶ/さけぶ
noisy/boisterous,騒がしい/さわがしい
