use/utilization,利用/りよう
payment in advance/prepayment,前払い/前払/まえばらい
wasteful/a waste,勿体ない/勿体無い/物体ない/物体無い/もったいない
breathing of a sleeping person,寝息/ねいき
to go out/to vanish,消える/きえる
mysterious disappearance/being spirited away,神隠し/神隠し/かみかくし
natural/obvious,当たり前/当り前/あたり前/当りまえ/あたりまえ
staying up late/keeping late hours,夜更かし/夜更し/夜ふかし/よふかし
paying for one's mistakes/getting one's just deserts,自業自得/じごうじとく
awfully/frightfully,やけに/やけに
quick/swift,素早い/素速い/す早い/す速い/すばやい
contents/interior,中身/中味/なかみ
too many/too much,余計/よけい
crisp/crunchy,しゃきっと/しゃきっと
wartime fire/war,戦火/せんか
presentiment/premonition,予感/よかん
anger/rage,怒り/いかり
dropping/losing,落とし/落し/おとし
running continuously/firing in rapid succession,連発/連ぱつ/れんぱつ
to attend/to deal with/to handle,掛かる/懸かる/掛る/懸る/かかる
outline/main points,大体/だいたい
early rising,早起き/はやおき
if so/in that case,すれば/すれば
shoplifting/shoplifter,万引き/万引/まんびき
to feel down/to feel sad,落ち込む/落込む/落ちこむ/おちこむ
receiving/welcoming,お迎え/御迎え/おむかえ
dazzling/radiant,眩しい/眩しい/まぶしい
to let leak/to let out (e.g. light),漏らす/洩らす/もらす
