astringent/bitter,渋い/澁い/しぶい
roasting (e.g. of coffee),焙煎/ばいせん
seafood,海鮮/かいせん
fighting (against)/taking on (an opponent),対戦/たいせん
game arcade/video arcade,ゲーセン/ゲーセン
legume/beans,豆/荳/菽/まめ
master/expert,達人/たつじん
to lay in stock/to replenish stock,仕入れる/しいれる
to meet/to encounter,会う/逢う/遭う/遇う/あう
to take (someone) with one/to bring along,連れる/つれる/釣れる
Hokkaido squirrel,蝦夷栗鼠/えぞりす
tree kangaroo (Dendrolagus spp.),木登りカンガルー/きのぼりカンガルー
pupil/disciple,弟子/弟子/でし
warrior (esp. of military retainers of daimyos in the Edo period),侍/士/侍/さむらい
patience/perseverance,根気/こんき
physical work/manual labour (labor),力仕事/ちからしごと
beginning/outset,最初/さいしょ
for the first time in one's life,生まれて初めて/生まれてはじめて/うまれてはじめて
doctrine/rule,主義/しゅぎ
for a moment/for a minute,暫く/姑く/暫らく/須臾/しばらく
to go by/to go past,通る/徹る/透る/とおる
to be taught/to learn,教わる/おそわる
light green,薄緑/うす緑/うすみどり
mold/mould,黴/かび
to grow/to spring up,生える/はえる
green coffee bean,生豆/生豆/きまめ
to classify/to sort out,選り分ける/より分ける/選り分ける/えり分ける/よりわける
to remove/to eliminate,除く/のぞく
grain/bead,粒/粒/粒/粒/つぶ
to be mixed/to be blended with,混ざる/交ざる/雑ざる/まざる
to rot/to go bad,腐る/くさる
to miss/to overlook,見逃す/見のがす/見遁す/見逃がす/みのがす
by today/before the day is over,今日中に/きょうじゅうに
lickety-split/quickly,ちゃっちゃと/ちゃっちゃと
rhythmical/well-paced,リズミカル/リズミカル
underling/person of low standing,下っ端/下っぱ/したっぱ
retort/back talk,口答え/口ごたえ/口応え/くちごたえ
to move/to shift,動かす/うごかす
to recommend (someone to do)/to advise,勧める/薦める/奨める/すすめる
being deeply moved emotionally/excitement,感動/かんどう
the past/bygone days,過去/かこ
to turn one's head/to look over one's shoulder,振り返る/振りかえる/ふり返る/振返る/ふりかえる
exercise to help digestion,腹ごなし/腹熟し/はらごなし
inadvertently/for no special reason,何気に/なにげに
genuine/real,本格的/ほんかくてき
start/commencement,開始/かいし
seriousness/earnestness,本気/ほんき
any more/any further,これ以上/これいじょう
to open one's heart/to throw off reserve,打ち解ける/うち解ける/打解ける/うちとける
once more/again,もういっちょ/もういっちょ
round/circular,円やか/まろやか
aftertaste,後味/あとあじ
refreshingly/with a feeling of relief,すっきり/すっきり
ordinary/common,平凡/へいぼん
disqualification/elimination,失格/しっかく
affectation/pretension,気どり/気取り/きどり
reality/actuality,現実/げんじつ
severe/strict,厳しい/酷しい/きびしい
outline/main points,大体/だいたい
